need_id,application_context,note
NEED-001,permanencia estudiantil,"Prediccion y prevencion de desercion estudiantil -- termino ES directo"
NEED-001,student attrition,"mismo tema en EN -- el dataset mezcla ES/EN a proposito (MEMORY.md L2); PRJ-002/PRJ-007 usan este tag"
NEED-001,trayectorias educativas,"sinonimo directo -- PRJ-001 usa este tag para el mismo problema de permanencia"
NEED-001,riesgo academico,"el riesgo de desercion se modela como riesgo academico en varios registros (p.ej. PRJ-002)"
NEED-001,acompanamiento temprano,"intervencion temprana sobre el mismo riesgo de desercion (THS-005)"
NEED-001,perfil del estudiante,"perfilamiento como insumo directo para prevenir desercion"
NEED-002,aprendizaje adaptativo,"Personalizacion del aprendizaje -- termino tecnico directo"
NEED-002,personalizacion,"termino literal del titulo de la NEED"
NEED-002,secuencias de aprendizaje,"personalizar secuencias es la forma operativa de personalizar el aprendizaje"
NEED-002,learning analytics,"EN -- analitica de aprendizaje aplicada a personalizacion"
NEED-002,perfil del estudiante,"el perfil del estudiante es insumo para personalizar"
NEED-003,evaluacion formativa,"Evaluacion automatica de competencias -- evaluacion formativa es la forma pedagogica de evaluar competencias"
NEED-003,evidencias de aprendizaje,"evaluar competencias requiere evidencias de aprendizaje verificables"
NEED-003,competencias,"termino literal del titulo de la NEED"
NEED-003,rubric analysis,"EN -- analisis de rubricas es evaluacion automatica de competencias"
NEED-003,resultados de aprendizaje,"resultado directo de evaluar competencias"
NEED-004,antecedentes investigativos,"Deteccion de antecedentes y duplicidad de trabajos de grado -- termino literal"
NEED-004,similitud conceptual,"la duplicidad se detecta por similitud conceptual entre trabajos"
NEED-004,trabajos de grado,"termino literal del titulo de la NEED"
NEED-004,research similarity,"EN -- equivalente directo de similitud conceptual entre trabajos"
NEED-004,recuperacion semantica,"mecanismo tecnico para detectar antecedentes similares"
NEED-005,monitoreo cardiovascular,"Monitoreo remoto cardiovascular -- termino literal"
NEED-005,ecg,"electrocardiograma es la senal cardiovascular monitoreada por excelencia"
NEED-005,wearables,"dispositivo tipico de monitoreo remoto cardiovascular"
NEED-005,senales fisiologicas,"categoria que incluye las senales cardiovasculares monitoreadas"
NEED-005,telemonitoring,"EN -- monitoreo remoto es telemonitoring"
NEED-006,enfermedades respiratorias,"Prediccion epidemiologica -- las respiratorias son el foco tipico de vigilancia epidemiologica en el dataset"
NEED-006,epidemiologia,"termino literal del titulo de la NEED"
NEED-006,vigilancia poblacional,"la vigilancia poblacional es el mecanismo para predecir brotes"
NEED-006,outbreak forecasting,"EN -- equivalente directo de prediccion epidemiologica"
NEED-006,riesgo sanitario,"el riesgo sanitario poblacional es lo que la prediccion epidemiologica busca anticipar"
NEED-007,historias clinicas,"Seguridad de informacion clinica -- termino literal"
NEED-007,clinical data security,"EN -- traduccion directa del titulo de la NEED"
NEED-007,control de acceso,"mecanismo central de seguridad de informacion clinica"
NEED-007,privacidad,"dimension central de la seguridad de informacion clinica"
NEED-008,exposicion ocupacional,"Prevencion inteligente de riesgos laborales -- termino tecnico directo"
NEED-008,ergonomia,"disciplina central de prevencion de riesgos laborales"
NEED-008,riesgo termico,"tipo especifico de riesgo laboral cubierto por la NEED"
NEED-008,worker safety,"EN -- traduccion directa de riesgos laborales"
NEED-008,monitoreo ambiental laboral,"mecanismo de prevencion inteligente de riesgos laborales"
NEED-009,calidad del agua,"Monitoreo inteligente de calidad del agua -- termino literal"
NEED-009,variables fisicoquimicas,"lo que se monitorea para evaluar calidad del agua"
NEED-009,cuencas,"unidad territorial tipica del monitoreo de calidad del agua"
NEED-009,contaminacion hidrica,"lo que el monitoreo de calidad del agua busca detectar"
NEED-009,water monitoring,"EN -- traduccion directa del titulo de la NEED"
NEED-010,riesgo climatico,"Prediccion de riesgo climatico territorial -- termino literal"
NEED-010,eventos extremos,"manifestacion concreta del riesgo climatico"
NEED-010,environmental extremes,"EN -- equivalente directo de eventos extremos"
NEED-010,climate resilience,"EN -- resiliencia climatica es la respuesta al riesgo climatico"
NEED-010,vulnerabilidad,"dimension central del riesgo climatico territorial"
NEED-011,infraestructura urbana,"Infraestructura urbana inteligente -- termino literal"
NEED-011,monitoreo estructural,"mecanismo tecnico central de infraestructura inteligente"
NEED-011,smart infrastructure,"EN -- traduccion directa del titulo de la NEED"
NEED-011,vibraciones,"senal tipica del monitoreo estructural de infraestructura"
NEED-011,deterioro,"lo que el monitoreo estructural busca anticipar"
NEED-012,eficiencia energetica,"Optimizacion energetica institucional -- termino literal"
NEED-012,consumo energetico,"variable central que se optimiza"
NEED-012,energy optimization,"EN -- traduccion directa del titulo de la NEED"
NEED-012,edificios,"unidad tipica de optimizacion energetica institucional"
NEED-012,sostenibilidad operativa,"objetivo mas amplio de la optimizacion energetica institucional"
NEED-013,fraude financiero,"Deteccion de fraude financiero -- termino literal"
NEED-013,transacciones atipicas,"mecanismo tecnico de deteccion de fraude"
NEED-013,financial anomaly,"EN -- traduccion directa de fraude financiero (anomalia financiera)"
NEED-013,operaciones sospechosas,"sinonimo directo de transacciones fraudulentas"
NEED-014,riesgo crediticio,"Riesgo crediticio explicable -- termino literal"
NEED-014,credit scoring,"EN -- mecanismo tecnico central del riesgo crediticio"
NEED-014,decisiones explicables,"la explicabilidad es el atributo central pedido por la NEED"
NEED-014,incumplimiento,"lo que el riesgo crediticio busca predecir"
NEED-014,transparencia,"dimension central de riesgo crediticio EXPLICABLE"
NEED-015,logistica,"Optimizacion logistica -- termino literal"
NEED-015,ruteo,"mecanismo tecnico central de optimizacion logistica"
NEED-015,ultima milla,"segmento logistico tipico del dataset"
NEED-015,distribucion,"funcion logistica central"
NEED-015,modelamiento de demanda,"insumo directo para optimizar logistica"
NEED-016,mantenimiento predictivo,"Mantenimiento predictivo -- termino literal"
NEED-016,predictive maintenance,"EN -- traduccion directa del titulo de la NEED"
NEED-016,vibraciones,"senal tipica usada para mantenimiento predictivo de activos"
NEED-016,fallas,"lo que el mantenimiento predictivo busca anticipar"
NEED-016,activos industriales,"objeto tipico del mantenimiento predictivo"
NEED-017,comportamiento de usuarios,"Ciberseguridad basada en comportamiento -- termino literal"
NEED-017,behavioral cybersecurity,"EN -- traduccion directa del titulo de la NEED"
NEED-017,phishing,"amenaza tipica detectada por ciberseguridad basada en comportamiento"
NEED-017,riesgo humano,"dimension central de la ciberseguridad basada en comportamiento"
NEED-017,incidentes,"resultado que la deteccion basada en comportamiento busca prevenir"
NEED-018,produccion cientifica,"Analisis inteligente de produccion cientifica -- termino literal"
NEED-018,bibliometria,"disciplina tecnica central del analisis de produccion cientifica"
NEED-018,tendencias de investigacion,"objetivo directo del analisis inteligente de produccion cientifica"
NEED-018,research intelligence,"EN -- traduccion directa del titulo de la NEED"
NEED-019,capacidades locales,"Fortalecimiento de capacidades territoriales -- termino literal"
NEED-019,desarrollo territorial,"objetivo mas amplio del fortalecimiento de capacidades territoriales"
NEED-019,innovacion social,"mecanismo tipico de fortalecimiento de capacidades territoriales"
NEED-019,regional development,"EN -- traduccion directa de desarrollo territorial"
NEED-019,vulnerabilidad socioeconomica,"lo que el fortalecimiento de capacidades territoriales busca reducir"
NEED-020,resiliencia urbana,"Resiliencia urbana frente a episodios ambientales extremos -- termino literal"
NEED-020,salud publica,"dimension afectada por episodios ambientales extremos en el dataset"
NEED-020,climate resilience,"EN -- resiliencia climatica es la forma general de resiliencia urbana"
NEED-020,eventos extremos,"termino literal del titulo de la NEED (episodios ambientales extremos)"
